ref_area,indicator,source,classif1,time,obs_value,obs_status
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2006,9.6746,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2006,15.3442,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2006,50.2784,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2007,0.6849,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2007,1.4944,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2007,2.3026,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2007,3.176,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2007,4.2457,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2007,5.5178,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2007,7.1233,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2007,9.6102,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2007,15.2681,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2007,50.577,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2008,0.6816,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2008,1.4814,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2008,2.2793,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2008,3.143,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2008,4.2013,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2008,5.4721,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2008,7.0431,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2008,9.5241,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2008,15.1719,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2008,51.0022,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2009,0.6682,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2009,1.4403,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2009,2.2118,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2009,3.0525,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2009,4.0896,I
