"COUNTRY","Country","SEX","Sex","SERIES","Series","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2010","2010",23.8188976377953,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2011","2011",24.656188605108,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2012","2012",24.8275862068966,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2013","2013",24.9506903353057,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2014","2014",25.3214638971315,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2015","2015",25.8637709772952,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2016","2016",25.8671952428147,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2017","2017",25.3479125248509,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2000","2000",39.543110970096,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2001","2001",38.7189923968973,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2002","2002",40.1798768331044,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2003","2003",39.8556674301024,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2004","2004",40.7780173017162,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2005","2005",40.6298065247308,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2006","2006",39.9311779560115,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2007","2007",40.3135752366308,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2008","2008",39.2430157745588,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2009","2009",39.5674211104104,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2010","2010",39.9424463730897,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2011","2011",40.060892646042,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2012","2012",40.078953060783,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2013","2013",40.4437421120173,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2014","2014",40.1811184531281,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2015","2015",40.2171934720621,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2016","2016",40.4815063621276,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2017","2017",40.6172803626958,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2018","2018",38.4985682075481,,
"CAN","Canada","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2019","2019",36.3217278586165,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2000","2000",44.5381618708965,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2001","2001",44.5733884608156,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2002","2002",45.4439709777727,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2003","2003",44.9194526635604,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2004","2004",45.6978289765175,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2005","2005",44.7979465720479,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2006","2006",43.4709246008187,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2007","2007",43.1397767350261,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2008","2008",42.7172464411952,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2009","2009",42.5710887051093,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2010","2010",43.1633894652759,,
