"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","HUN","Hungary","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",160.7648,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","ISL","Iceland","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",124.05,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","ISL","Iceland","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",130.359,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","ISL","Iceland","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",138.6416,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","IRL","Ireland","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",105.3863,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","IRL","Ireland","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",107.8073,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","IRL","Ireland","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",111.5603,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","ITA","Italy","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",102.1067,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","ITA","Italy","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",103.1266,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","ITA","Italy","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",103.879,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","JPN","Japan","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",103.429,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","JPN","Japan","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",103.9296,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","JPN","Japan","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",100.2586,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","KOR","Korea","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",113.5996,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","KOR","Korea","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",116.1951,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","KOR","Korea","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",115.5376,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","LUX","Luxembourg","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",99.31453,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","LUX","Luxembourg","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",101.2811,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","LUX","Luxembourg","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",99.29021,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","MEX","Mexico","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",117.9873,"P","Provisional value"
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","MEX","Mexico","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",125.5537,"P","Provisional value"
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","MEX","Mexico","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",130.663,"P","Provisional value"
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","NLD","Netherlands","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",105.7284,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","NLD","Netherlands","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",108.6387,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","NLD","Netherlands","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",112.781,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","NZL","New Zealand","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",106.2981,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","NZL","New Zealand","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",110.1449,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","NZL","New Zealand","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",113.4818,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","NOR","Norway","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",105.5691,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","NOR","Norway","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",109.1422,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","NOR","Norway","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",111.6255,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","POL","Poland","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",119.3783,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","POL","Poland","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",127.4107,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","POL","Poland","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",133.3499,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","PRT","Portugal","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",115.2749,,
