"COUNTRY","Country","SEX","Sex","AGE","Age","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2014","2014","MONTH","Months","0","Units",,,5.5809998512268,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2015","2015","MONTH","Months","0","Units",,,5.81799983978271,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2016","2016","MONTH","Months","0","Units",,,5.34700012207031,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2017","2017","MONTH","Months","0","Units",,,5.38399982452392,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2001","2001","MONTH","Months","0","Units",,,6.3675696305276,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2002","2002","MONTH","Months","0","Units",,,6.18908733304972,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2003","2003","MONTH","Months","0","Units",,,6.24473558270615,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2004","2004","MONTH","Months","0","Units",,,5.79866449630573,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2005","2005","MONTH","Months","0","Units",,,4.96369828190102,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2006","2006","MONTH","Months","0","Units",,,5.37880402203898,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2007","2007","MONTH","Months","0","Units",,,4.6946714593427,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2008","2008","MONTH","Months","0","Units",,,4.35656312796305,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2009","2009","MONTH","Months","0","Units",,,4.89702502383329,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2010","2010","MONTH","Months","0","Units",,,5.59702157119917,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2011","2011","MONTH","Months","0","Units",,,5.51744650586383,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2012","2012","MONTH","Months","0","Units",,,5.91215931158231,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2013","2013","MONTH","Months","0","Units",,,6.24792274886415,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2014","2014","MONTH","Months","0","Units",,,7.44659768459665,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2015","2015","MONTH","Months","0","Units",,,7.7033535545602,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2016","2016","MONTH","Months","0","Units",,,7.96035527506625,,
"AUS","Australia","MEN","Men","1524","15 to 24","A","Annual","2017","2017","MONTH","Months","0","Units",,,7.43514210594339,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2001","2001","MONTH","Months","0","Units",,,8.37399959564208,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2002","2002","MONTH","Months","0","Units",,,8.20600032806396,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2003","2003","MONTH","Months","0","Units",,,8.36999988555908,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2004","2004","MONTH","Months","0","Units",,,7.80000019073486,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2005","2005","MONTH","Months","0","Units",,,6.29899978637695,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2006","2006","MONTH","Months","0","Units",,,7.01000022888183,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2007","2007","MONTH","Months","0","Units",,,5.79099988937377,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2008","2008","MONTH","Months","0","Units",,,5.41499996185302,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2009","2009","MONTH","Months","0","Units",,,5.48000001907348,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2010","2010","MONTH","Months","0","Units",,,6.74100017547607,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2011","2011","MONTH","Months","0","Units",,,6.89699983596801,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2012","2012","MONTH","Months","0","Units",,,7.11600017547607,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2013","2013","MONTH","Months","0","Units",,,7.68300008773803,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2014","2014","MONTH","Months","0","Units",,,9.34700012207031,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2015","2015","MONTH","Months","0","Units",,,9.71899986267089,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2016","2016","MONTH","Months","0","Units",,,10.491000175476,,
"AUS","Australia","MEN","Men","2024","20 to 24","A","Annual","2017","2017","MONTH","Months","0","Units",,,9.57499980926513,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2001","2001","MONTH","Months","0","Units",,,13.9576016454027,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2002","2002","MONTH","Months","0","Units",,,14.4242172622519,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2003","2003","MONTH","Months","0","Units",,,14.9217577338601,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2004","2004","MONTH","Months","0","Units",,,14.0800017578029,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2005","2005","MONTH","Months","0","Units",,,12.6818196899438,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2006","2006","MONTH","Months","0","Units",,,12.3175880612127,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2007","2007","MONTH","Months","0","Units",,,10.1143102862301,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2008","2008","MONTH","Months","0","Units",,,10.1930350802792,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2009","2009","MONTH","Months","0","Units",,,8.3944477622388,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2010","2010","MONTH","Months","0","Units",,,10.0831181688343,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2011","2011","MONTH","Months","0","Units",,,10.3010589783913,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2012","2012","MONTH","Months","0","Units",,,9.62800774729643,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2013","2013","MONTH","Months","0","Units",,,9.25393929154307,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2014","2014","MONTH","Months","0","Units",,,10.2892607988981,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2015","2015","MONTH","Months","0","Units",,,11.4249473455338,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2016","2016","MONTH","Months","0","Units",,,11.4061578077024,,
"AUS","Australia","MEN","Men","2554","25 to 54","A","Annual","2017","2017","MONTH","Months","0","Units",,,13.1794039738901,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2001","2001","MONTH","Months","0","Units",,,25.3615356105855,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2002","2002","MONTH","Months","0","Units",,,26.2301081893944,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2003","2003","MONTH","Months","0","Units",,,24.6778844465426,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2004","2004","MONTH","Months","0","Units",,,26.0921403794199,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2005","2005","MONTH","Months","0","Units",,,23.9221824343385,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2006","2006","MONTH","Months","0","Units",,,19.7493281298222,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2007","2007","MONTH","Months","0","Units",,,18.2513081364133,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2008","2008","MONTH","Months","0","Units",,,13.9481334161033,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2009","2009","MONTH","Months","0","Units",,,17.1656924714319,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2010","2010","MONTH","Months","0","Units",,,15.544020654703,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2011","2011","MONTH","Months","0","Units",,,16.2450707103805,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2012","2012","MONTH","Months","0","Units",,,16.7400644424875,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2013","2013","MONTH","Months","0","Units",,,14.9237674457814,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2014","2014","MONTH","Months","0","Units",,,16.0315621335084,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2015","2015","MONTH","Months","0","Units",,,18.452321511378,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2016","2016","MONTH","Months","0","Units",,,18.5986598501724,,
"AUS","Australia","MEN","Men","5599","55+","A","Annual","2017","2017","MONTH","Months","0","Units",,,16.242329961806,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2001","2001","MONTH","Months","0","Units",,,12.1215445090354,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2002","2002","MONTH","Months","0","Units",,,12.4092126258911,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2003","2003","MONTH","Months","0","Units",,,12.4829846639257,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2004","2004","MONTH","Months","0","Units",,,11.9132854740883,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2005","2005","MONTH","Months","0","Units",,,10.7324856385669,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2006","2006","MONTH","Months","0","Units",,,10.3115766654695,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2007","2007","MONTH","Months","0","Units",,,8.67151978865581,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2008","2008","MONTH","Months","0","Units",,,8.23193814089602,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2009","2009","MONTH","Months","0","Units",,,7.89671019630007,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2010","2010","MONTH","Months","0","Units",,,8.90136821295788,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2011","2011","MONTH","Months","0","Units",,,9.03880121615332,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2012","2012","MONTH","Months","0","Units",,,8.97296184899807,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2013","2013","MONTH","Months","0","Units",,,8.8215762518702,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2014","2014","MONTH","Months","0","Units",,,9.90789003216547,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2015","2015","MONTH","Months","0","Units",,,10.897182842979,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2016","2016","MONTH","Months","0","Units",,,11.0401179641846,,
"AUS","Australia","MEN","Men","900000","Total","A","Annual","2017","2017","MONTH","Months","0","Units",,,11.3186896588312,,
"AUS","Australia","WOMEN","Women","1519","15 to 19","A","Annual","2001","2001","MONTH","Months","0","Units",,,4.65399980545043,,
"AUS","Australia","WOMEN","Women","1519","15 to 19","A","Annual","2002","2002","MONTH","Months","0","Units",,,4.34499979019165,,
"AUS","Australia","WOMEN","Women","1519","15 to 19","A","Annual","2003","2003","MONTH","Months","0","Units",,,4.06099987030029,,
"AUS","Australia","WOMEN","Women","1519","15 to 19","A","Annual","2004","2004","MONTH","Months","0","Units",,,3.79800009727478,,
"AUS","Australia","WOMEN","Women","1519","15 to 19","A","Annual","2005","2005","MONTH","Months","0","Units",,,3.67100000381469,,
"AUS","Australia","WOMEN","Women","1519","15 to 19","A","Annual","2006","2006","MONTH","Months","0","Units",,,3.89700007438659,,
"AUS","Australia","WOMEN","Women","1519","15 to 19","A","Annual","2007","2007","MONTH","Months","0","Units",,,3.73499989509582,,
"AUS","Australia","WOMEN","Women","1519","15 to 19","A","Annual","2008","2008","MONTH","Months","0","Units",,,3.70099997520446,,
"AUS","Australia","WOMEN","Women","1519","15 to 19","A","Annual","2009","2009","MONTH","Months","0","Units",,,4.13399982452392,,
"AUS","Australia","WOMEN","Women","1519","15 to 19","A","Annual","2010","2010","MONTH","Months","0","Units",,,4.24700021743774,,
"AUS","Australia","WOMEN","Women","1519","15 to 19","A","Annual","2011","2011","MONTH","Months","0","Units",,,4.60200023651123,,
